tokens,rewards
11,0.0
7,0.0031782863471912204
"17,16,4,14,14,16,7,14,14,15,11,17,14,6,9,1,10,13,9",0.0029830909618619333
"15,14,17,3,17,12,15,6,16,15,16,16,17,17,11,12,1,5,4",0.002596624388295216
6,0.0031784082274755733
"17,16,17,17,17,7,17,15,14,17,16,9,7,10,14,3,1",0.002596624388295216
5,0.0031784932657680557
"16,0,17,17,14,10,17,17,17,17,15,14,14,2,14,16,9,7,10,9,12",0.002622501427755568
"17,15,15,15,14,15,16,16,17,15,15,16,7,7,6,13,7,0,4,0,12,3,10",0.018586557164469417
"17,17,17,17,16,17,16,16,14,2,17,16,17,15,9,8,10,4,4,4",0.0008470474346563407
9,0.0
"17,15,17,16,8,16,8,17,14,14,15,14,17,14,7,5,10,12,13,2,0",0.0
"16,3,17,17,17,17,17,17,14,14,13,16,17,17,10,6,0",0.004586416114625212
"14,14,2,6,17,14,15,6,17,17,17,15,17,2,1,11",0.003189019613454336
"15,15,14,8,13,17,17,9,15,0,16,5,2",0.002596789255570434
"15,3,14,17,17,17,15,7,9,11",0.002596624388295216
"16,11,17,17,17,17,17,17,16,11,4",0.0
"14,16,17,14,11,17,15,16,10,17,14,0,17,10,1,17,4,13",0.00259800510322431
"17,17,16,17,13,16,12,17,17,16,15,2,14,6,12,6",0.0
"17,14,16,11,16,17,17,17,15,16,11,17,17,9,13,7,2",0.0
10,0.003655093552989749
"14,17,17,17,14,17,17,16,17,17,16,17,17,8,6,12,9,3",0.002596624388295216
"17,17,14,16,17,2,4,17,17,16,16,17,6,0,16,1,3",0.0021108969189839993
"16,14,1,17,14,15,6,16,1,17,0,17,4,11",0.0
"16,3,16,17,17,16,17,17,15,17,12,16,13,5,6,17,7",0.00033327778703549406
12,0.0
"17,14,17,17,17,17,17,17,14,17,17,12,17,17,5,4",0.006408020360967921
"15,3,16,17,8,17,16,12,14,14,17,17,15,17,14,12,4,13,10,2",0.002688875001292728
"17,15,16,16,16,15,17,15,17,17,15,17,17,17,17,8,17,5,11,2,3,4,0,9",0.0034170670472684337
2,0.0015019555163405822
"17,17,16,17,14,17,9,8,17,17,16,17,9,11",0.0
"15,17,17,1,15,17,16,14,14,14,15,9,17,7,16,17,5,8,8,10,11,4",0.002596624388295216
"15,0,17,17,12",0.0025075625774464293
"16,4,17,17,15,15,3,17,16,17,15,17,17,10,0,17,7,4",0.002204482392029897
"17,17,16,7,16,8,17,3",0.003978659915001357
"15,3,14,17,16,7,17,15,16,8,15,4,17,10,0,5",0.002596624388295216
"14,12,14,16,17,0,15,15,16,17,16,17,4,9,11,7,0,12",0.002596624388295216
8,0.003178277844264386
"16,17,15,17,13,17,16,2,11,14,14,10,16,11,5,15,6,10",0.0
"17,17,14,16,6,17,17,17,17,17,10,17,5",0.0020273233068148814
"15,0,17,14,8,15,14,9,17,17,17,17,17,7,9",0.003053334426568466
"16,17,15,15,16,14,7,16,15,17,17,4,4,9,17,10,1,2,8",0.047632815323455
"15,1,16,17,17,3,17,17,4",0.0020649650714178935
"15,15,17,15,9,16,5,16,16,9,5,14,0,5,13,13",0.0033273854794360264
"15,15,4,17,5,17,17,14,15,4,16,17,11,15,4,13,12",0.0023530411328582614
"15,11,14,7,16,15,8,11,17,14,1,4",0.0013251422361148016
"17,17,17,17,15,14,17,14,17,17,6,15,17,15,13,0,1,7,6",0.002596624388295216
"14,15,16,14,17,17,14,7,2,14,11,17,1,9,5,9",0.0010071739053609924
"17,17,17,15,9,16,14,15,17,17,5,13,3,17,15,0,7",0.0033273854794360264
"16,14,8,17,16,16,7,16,13,16,17,14,17,9,13,3,12,13",0.015351262670650965
"17,14,17,10,17,17,14,17,7,6",0.0001934644831453026
"17,17,15,17,17,17,4,15,13,17,16,17,5,12",0.003095098605249933
"15,17,17,3,14,3,15,12,14,10,9",0.002596624388295216
"15,17,17,17,17,5,16,0,10",0.0031876830628780706
13,0.015351262670650965
"17,15,17,14,6,17,17,9,6",0.00018490719361972862
"16,17,17,17,11,17,15,17,8,17,17,7",0.00042119056533133654
"16,17,17,3,17,15,17,17,17,10,17,15,11,13",0.0
"16,16,17,17,14,4,14,2,15,14,17,17,8,12,10,3,7",0.006271748316435129
"16,3,17,15,13,17,12",0.0
"16,5,14,16,11,17,16,17,12,17,8,16,4,15,8,10",0.0031817053726541167
"17,14,16,17,17,17,2,9,17,16,17,16,16,6,3,0,10",0.0
"15,17,17,14,17,12,2,16,12,6",0.000946803250066206
"16,17,12,17,17,14,17,16,14,17,11,12,13,1",0.00011694756230780065
"17,16,7,17,17,15,15,15,2,11,17,15,16,4,7,2,2",0.0025552198286856575
"15,17,16,4,17,17,17,15,16,12,4,15,0,9,14,11,15,2,6",0.002596624388295216
"16,17,2,16,17,16,1,2,14,16,10,7,15,7,14,12,0",0.004026171472009557
"17,14,14,0,14,0,9,14,16,17,17,17,16,12,17,9,11,5",0.0
"14,16,17,17,3,11,14,2,10",0.002600977224299987
"14,17,15,16,15,14,14,15,17,14,17,14,5,15,3,2,3,0,1,13,2,11,4,10",0.0024591073110062753
"14,15,17,14,17,15,7,7,4,12,17,6",0.0025966410593154144
"15,10,17,17,14,17,15,10,16,9,7,17,14,15,0,10,6",0.0020676769203291797
1,7.243609161190058e-05
"16,15,17,17,0,15,15,16,15,17,17,15,7,17,2,1,10,8,6,11",0.0
"17,16,17,5,17,17,17,14,17,15,0,14,13,6,10",0.002596624388295216
"16,4,16,14,17,15,15,14,1,17,17,12,15,10,15,13,3,4,5,9",0.0
"15,8,16,14,16,17,2,15,0,17,17,16,16,15,10,3,12,13,5,5",0.0027018661433161843
"17,15,9,16,12,14,10,15,17,17,7,17,12",0.0058633737272532505
"15,11,15,2,15,6,16,16,17,17,15,8,0,4,0",0.002596624388295216
"16,15,10,7,17,16,14,16,15,0,5,15,17,0,7,3,1",0.004824193425368011
"16,11,17,14,16,17,5,17,17,11,17,3",0.0
"17,16,17,17,15,16,15,15,2,16,0,2,15,15,10,12,3,3,2,9",0.0032462986398543803
"15,17,17,17,17,14,17,15,15,15,14,15,3,17,6,2,9,10,7,3,6",0.002596624388295216
"17,17,14,16,3,16,12,13,2",0.002596624388295216
"17,15,16,17,17,17,17,17,4,17,15,17,11,7,4",0.004902905663547984
"16,2,14,10,16,15,6,16,16,16,7,15,17,17,3,13,13,8,3",0.0012674167726930484
"16,12,17,17,17,17,17,17,3",0.0
"15,14,15,16,17,14,17,15,5,17,13,15,17,16,1,10,0,3,8,11,7",0.0025966373546257595
"17,15,17,8,14,16,9,15,14,5,15,17,15,15,1,11,10,8,0,2",0.0
"17,17,16,16,16,2,2,17,16,16,14,13,6,14,10,1,4,12",0.0
"17,17,17,17,16,17,13,15,7,15,11,17,6",0.001406355856311859
"14,17,17,17,17,15,14,17,7,5,17,17,17,5,10",0.003655093552989749
"14,17,14,17,17,14,16,14,16,17,15,17,14,2,6,9,7,17,9,2,1,0,2",0.002596624388295216
"17,14,15,10,16,11,17,4,17,15,17,13,17,17,3",0.0036456640619480277
"15,8,17,15,16,14,8,14,13,13,6,2",0.0025972376522398677
"16,16,17,14,5,2,7,17,17,14,15,8,17,2,15,7,9",0.029793510324483775
"17,16,3,17,17,17,16,2,17,15,17,17,14,17,10,4,11",0.0018659621011960568
"17,15,16,12,17,15,2,17,17,14,16,16,0,17,7,4,12,3",0.0018265122167302817
"15,17,17,15,15,14,17,17,16,17,17,3,15,0,12,13,17,8,7,0",0.002596624388295216
"17,15,17,14,14,2,16,17,17,17,17,17,17,15,4,12,8,2,10",0.0013091605580997307
"16,7,17,15,17,15,13,7,15,14,17,17,17,13,17,7,5",0.0
"17,14,13,15,14,0,17,9,17,16,16,17,14,9,0,13,2",0.0
"17,15,16,17,16,1,12,1,17,17,16,16,17,12,17,10,17,9",0.001965143191039992
"15,0,17,16,7,17,17,5",0.002602943185044232
"17,17,16,17,15,16,17,17,17,3,15,1,4,6,4",0.0008000738529710435
"17,16,10,17,15,17,16,15,17,17,17,16,8,17,12,11,0,7",0.002596624388295216
"15,1,17,17,17,16,0,17,17,12",0.002596624388295216
"17,16,17,0,14,14,15,15,4,17,1,7,4,16,12,13",0.00262500758197485
"15,17,14,17,17,17,17,10,17,17,10,17,16,11,11",0.0026134949679451967
"17,15,11,16,15,15,11,17,2,10,10",0.0020366779716730742
"16,5,14,17,14,15,17,17,16,11,14,16,17,14,17,10,5,8,6,10,4,6",0.003180208139139589
"17,17,14,15,15,15,15,17,16,11,12,3,14,5,10,6,5,0",0.003053334426568466
"17,17,17,15,17,11,16,7,17,15,15,14,14,7,6,12,11,2",0.0
"16,17,7,14,5,14,17,3,17,7",0.00132886581302858
"16,3,14,16,9,16,10,15,10,14,8,15,15,11,11,5,3",0.0031747645457277564
"17,16,8,15,12,15,8,6",0.0014782510531350448
"14,16,14,5,9,14,17,16,9,16,15,17,2,17,4,11,4,6",0.002599881148290364
"17,17,16,17,17,16,2,17,17,17,9,17,4",0.004131089739372969
"17,17,15,17,17,16,14,16,5,16,15,17,3,15,2,2,11,2,10,2",0.00205670398950466
"14,13,17,14,12,17,17,3",0.001406354761164985
"15,15,17,3,17,16,14,17,14,17,12,16,6,9,4,3,4",0.0026155381649412978
"17,15,17,14,16,16,15,17,15,0,17,17,10,8,15,15,9,13,4,7,2,4",0.0035989282749501667
"14,8,17,17,15,15,16,16,17,17,14,0,11,17,17,17,8,1,1,2",0.002596624388295216
"16,17,2,17,17,16,17,14,4,7,17,12",0.014597308357591867
"17,17,14,17,13,14,17,1,16,16,17,17,9,8,4",0.0025455358047515742
"15,15,17,16,16,16,3,8,17,17,11,17,0,13,16,7,1",0.0025968411282561283
"15,14,15,14,7,3,14,16,17,5,17,4,3,17,15,9,13,3",0.0025612255028351323
"15,14,0,17,6,17,14,16,14,4,16,7,14,17,15,12,1,10,3,2",0.0021071382592725905
"17,17,15,13,14,4,17,14,0,14,15,7,15,6,3,4",0.007610896222533125
"14,10,17,17,17,17,15,16,13,16,1,15,14,17,17,11,12,10,0",0.0025731620219322424
"17,14,17,14,17,17,2,17,17,7,13",0.0007275593415587959
"16,7,17,17,16,14,17,0,5,4",0.0029713083820584294
