tokens,rewards
13,0.015351262670650965
2,0.0015019555163405822
4,0.002204482392029897
"17,14,16,14,16,1,17,1,17,16,15,15,9,17,8,4,5,13,10",0.015351262670650965
6,0.0031784082274755733
"16,14,16,15,17,17,17,17,1,16,3,17,2,16,8,8,8,2",0.0015019555163405822
"17,17,14,17,16,17,16,16,17,2,8,14,9,17,17,1,9,9",0.0
"16,15,17,17,17,14,15,15,17,16,17,15,5,17,10,14,8,6,8,3,5,11,0",0.0
"17,17,17,17,17,14,9,4",0.0
"14,17,10,15,2,17,16,15,14,15,17,15,14,2,0,5,11,1,9,10",0.002596624388295216
"14,12,17,14,16,17,17,6,6,15,4,16,0,11",0.003919571259205339
3,0.0031747645457277564
"16,14,17,17,17,17,16,14,9,15,4,15,16,15,10,8,10,4,10,7,2",0.0014065645293062355
"17,17,14,0,15,10,17,17,7",0.0026062251549415177
"16,15,17,17,17,13,17,17,8,8",0.0026095645345853443
"15,17,14,16,16,17,14,5,16,17,11,17,17,16,17,2,7,5,6,1,5",0.0031784932657680557
12,0.0
9,0.0
10,0.003655093552989749
"17,17,16,15,4,17,14,7,10,9",0.0
8,0.003178277844264386
"17,17,17,17,16,2,11",0.0
"14,17,3,15,2,16,17,10,10",0.002596624388295216
7,0.0031782863471912204
"16,17,1,17,16,16,1,4,17,17,9",0.004274626950833469
"17,15,14,17,15,17,15,17,15,15,16,1,5,17,12,17,11,14,8,8,6,4,1",0.0032089094426879334
"17,17,17,15,6,15,14,12,9,12",0.0
"17,17,17,17,16,14,15,1,16,14,17,17,16,13,6,7,4,1,3",0.0021824425352341514
"15,17,3,15,16,15,12,15,15,17,4,17,14,12,17,8,11,2,8",0.0025967744351837255
"16,14,7,9,17,16,17,16,13,17,16,5,17,12,0",0.0012374803994970969
"17,16,2,14,15,17,17,15,14,16,7,17,17,3,1,4,3,6",0.002911271835678119
"15,8,17,14,14,14,16,14,16,2,4,15,16,12,2,6,4,5,10,12",0.0032183035246987944
"17,17,15,15,6,4,16,3,17,17,16,4,15,17,9,17,4",0.002675308454935464
"17,17,17,17,17,17,17,14,17,4,11",0.004931079220372515
"14,17,17,3,17,2",0.0029262445987751524
0,0.003053334426568466
"15,16,3,3,15,2,5",0.002596624388295216
"17,15,17,16,17,17,7,17,17,13,17,17,14,2,17,2",0.0
"16,14,14,0,17,14,16,17,16,17,14,15,1,15,17,8,17,2,12,7,5,6,2,9",0.0
"15,17,17,17,14,10,17,16,14,15,15,14,0,15,2,8,10,4,5,6,4",0.0024408256651933754
"17,17,14,16,16,3,5,16,10,16,14,15,14,0,17,0,10,5,6,13",0.002045678731314971
"17,17,17,0",0.0014956892100268155
1,7.243609161190058e-05
"17,16,5,16,14,17,11,17,17,17,16,17,17,2,15,0,4,3",0.002148779365995638
"15,17,17,17,7,14,14,17,15,15,16,15,4,17,7,3,8,8,13,13",0.002417563524718473
"16,16,15,1,14,17,9,17,9,16,16,17,5,16,17,17,3,0,3,11",0.0
"17,17,14,8,16,0,17,16,16,16,14,17,17,3,12,12,12,12",0.002602106501321494
"17,14,17,13,16,9,14,3,17,14,15,13,17,17,15,11,2,7",0.0014182124868662217
"17,14,17,6,15,14,17,17,17,10,17,8,17,6",0.0
"17,17,17,17,17,15,6,17,14,14,17,15,16,17,13,4,10,5,3",0.0029983071758528674
"16,16,17,3,11,17,17,5",0.0
"17,15,17,5,14,15,14,17,17,14,17,3,14,8,17,2,4,5,9",0.00441918774270801
"15,17,9,14,17,16,14,17,6,17,15,3,17,7,3,4",0.002617516796332025
"17,15,14,14,15,11,17,9,17,15,11,17,0,2,8",0.0
5,0.0031784932657680557
"17,14,5,14,16,17,17,17,17,2,11,17,10",0.0
"17,15,16,2,17,17,1,17,16,17,16,17,17,12,5,13",0.01551344950093047
"17,17,15,16,14,16,0,17,16,14,14,16,16,17,15,3,17,5,4,5,9,10,12,1,10,1",0.0017716420440344023
"17,17,17,17,17,17,14,17,3,15,16,16,0,1,10,8",0.002596624388295216
"17,17,17,17,17,17,17,12",0.003919579700453659
"15,17,7,15,15,16,7,14,7,14,15,14,12,17,13,6,13,4,0",0.002596851941607235
"17,16,13,17,14,16,11,17,17,8,17,9",0.002596624388295216
"14,14,14,14,1,11,2,17,14,16,16,14,0,16,6,3,4,13,2,3",0.002566742070957078
"17,14,12,16,0,1",0.0
"16,10,17,16,15,16,17,14,17,14,15,15,2,1,17,0,2,8,2,12,13",0.003655093552989749
"17,16,8,17,17,17,14,3,17,9",0.002794829565304187
"14,8,17,17,17,16,3,13",0.0021125056706487225
"16,16,17,14,14,7,4,15,14,17,17,17,10,16,1,4,12,13,12",0.0
"15,14,17,16,10,12,17,17,15,6,17,17,17,6,17,3",0.002596624388295216
"17,17,15,1,14,12,14,14,9,13,8",0.002596624388295216
"17,17,17,15,16,14,7,13,14,16,15,14,17,1,3,12,5,11,8",0.0006227575705222726
"17,17,17,16,3,17,17,17,12",0.0018265122167302817
"17,17,14,15,17,14,15,17,17,16,0,15,15,17,9,12,11,7,12,10,0",0.002579036761114716
"17,15,16,17,14,15,9,11,17,2,5,14,15,16,0,2,10,8",0.0023360479075221667
"17,17,17,17,16,14,12,17,15,16,16,17,17,17,12,0,9,3,10",0.003655093552989749
"15,17,14,11,17,12,16,2,17,17,4",0.0012926256999323457
"17,17,17,16,17,9,17,11",0.0
"16,15,17,5,14,16,11,17,1,17,14,17,3,16,2,0,5",0.0031804816234377578
"17,16,13,17,17,17,17,14,17,13,16,15,17,5,7,5",0.001406354761164985
"17,17,16,7,14,0,17,15,9,17,17,16,17,11,1",0.0048864524494036995
"17,17,17,16,2,17,17,9",0.0029977796664887764
"15,16,17,17,9,17,16,17,16,15,17,7,14,5,12,14,6,14,4,7,10,11",0.0
"16,2,17,15,15,16,16,17,14,14,4,17,14,1,8,12,4,10,11,0",0.0012495080062225497
"17,17,17,17,17,14,14,16,17,16,17,1,13,14,2,6,7,10",0.002889376578404667
"16,6,17,16,17,17,17,15,14,17,17,6,2,15,7,2,4",0.0031784082274755733
"17,17,17,17,15,16,16,1,14,17,17,7,12,16,15,6,11,2,13",0.014663788278564002
"17,17,17,17,17,15,17,15,17,2,5,16,1,9",0.00332650060361364
"16,5,15,17,17,17,15,17,0,15,15,17,4,1,6,1",0.0001230924172273433
"14,1,17,15,6,15,13,17,17,17,13",0.004271230247341764
"15,12,15,17,12,17,17,17,15,16,17,14,3,4,7,2",0.002596624388295216
"17,15,9,15,17,17,17,17,17,16,14,17,17,17,6,7,1,1",0.0
"15,6,17,17,15,15,17,17,10,15,17,17,9,8,12",0.002596624388295216
"14,17,17,17,14,10,17,12,10",0.002596624388295216
"14,15,10,9,17,17,17,16,14,17,17,16,12,16,15,8,16,7,3,6,3,9",0.0033273854794360264
"17,17,14,12,17,16,15,7,16,0,16,17,9,9,9",0.002596624388295216
"17,17,17,17,14,16,16,15,11,2,2,5,9",0.00271007692941089
"17,17,15,12,17,17,15,2,5",0.002596624388295216
"17,16,14,17,17,17,14,17,15,17,17,17,17,11,15,7,8,6,12,11",0.0026134949679451967
"17,16,17,7,17,11",0.003175689402606845
"15,17,11,17,17,17,13",0.002596624388295216
"15,8,15,17,17,8,16,7,17,17,15,17,4,6",0.002596624388295216
"15,12,15,17,15,11,5,6",0.002598427951089591
"17,17,17,17,17,17,17,3",0.0018265122167302817
"16,9,16,9,17,15,17,5,14,17,17,5,14,14,17,1,7,4",0.0
"15,14,16,17,17,10,8,3,14,14,3,17,16,17,17,11,17,5,10",0.002596624388295216
"16,6,17,17,17,15,17,12,17,17,17,16,0,14,17,4,9",0.0
"16,15,14,13,14,14,10,17,14,15,3,17,16,13,1,11,11,3,4",0.0021697825721331975
"15,17,17,4,9",0.002128612230034815
"15,17,15,17,17,16,15,10,17,12,4,15,8,6,10",0.002365244180887838
"17,14,15,17,16,11,14,11,16,9,14,17,17,17,11,12,10,6",0.0012990050855930363
"17,17,14,1,15,17,12,14,14,16,13,17,1,13,5",0.0026366838051114
"15,3,14,14,17,3,17,17,16,17,15,17,9,17,16,8,8,9,4",0.002596639206969266
"17,15,4,15,15,3,17,17,17,9,16,13,14,10,14,7,7",0.0
"14,14,2,17,15,6,17,14,2,12,13",0.0037090479582579895
"17,17,17,17,17,17,17,17,17,7",0.00132886581302858
"16,11,17,15,16,14,17,17,17,15,17,9,17,17,15,9,13,2,7,13",0.0
"17,14,17,17,17,5,3",0.0002816078399622645
"16,6,17,17,14,1,14,9,14,0,16,6,2",0.0036259272108338306
"16,7,17,14,16,17,17,17,15,3,15,4,3,15,5,6,9",0.0
"17,17,14,14,17,17,15,17,15,14,16,17,14,6,1,0,17,13,3,0,5,11",0.0
"14,16,2,15,8,14,17,4,17,14,15,17,2,11,12,8",0.0025968411282561283
"17,17,17,17,17,17,14,17,14,14,17,15,10,11,0,1,12",0.001150736614177119
"14,1,14,17,9,16,14,7,13,17,17,17,12",0.0030458364921335415
"17,17,15,17,12,17,17,16,1,4",0.0032421407035623465
"14,17,14,2,16,14,1,15,17,16,1,12,5,13,8",0.002596852244101257
"17,14,5,17,17,17,14,15,16,13,15,17,11,2,1,10",0.003611986774945284
"17,17,17,17,17,17,14,17,6,17,17,12",0.0025549742423612433
"15,17,15,1,8,17,14,17,6,17,17,6",0.0014555427110814285
"14,14,17,15,17,14,15,17,3,17,17,17,17,0,14,13,11,11,7,6",0.0025603239745138526
"17,17,17,17,17,17,17,16,16,14,5,0,15,2,1,17,6",0.002862859587748219
"17,16,7,15,14,12,17,16,10,16,9,17,15,0,14,1,7,11",0.00132886581302858
"14,8,17,14,15,17,13,14,17,14,15,15,12,17,13,14,5,0,7,0,3",0.0016239345855923102
"14,17,10,16,14,8,13,17,14,16,15,17,16,8,16,12,13,6,7,9",0.005864287372975872
"16,17,7,17,16,14,17,7,11,15,16,7,9,17,5",0.0015424171840072395
"17,17,15,6,14,17,14,17,5,17,5,16,16,16,17,6,0,13,0",0.002596624388295216
"17,17,17,16,16,15,5,14,2,16,4,4,7,17,8",0.002596624388295216
"17,15,11,16,17,15,11,2,17,5",0.0026134949679451967
"17,17,15,6,16,15,14,7,17,17,17,17,1,8,3",0.002596624388295216
