tokens,rewards
"17,15,17,1,17,15,17,4,8",9.16475734222037e-05
"17,14,17,17,2,14,17,16,14,16,17,2,14,4,14,13,7,0,12,0",0.001281905195989061
2,0.0015019555163405822
"17,15,13,5",0.0005481678218212027
"14,16,1,14,14,17,14,17,6,4,1,17,17,13,15,1,4",0.002596624388295216
3,0.0031747645457277564
0,0.003053334426568466
"14,2,17,16,17,17,7,17,12",0.00312529826392626
8,0.003178277844264386
"15,3,17,17,17,16,17,17,5,17,16,8,16,2,6",0.0025972024419411094
4,0.002204482392029897
"14,15,1,17,5,7",0.0031774136174105147
10,0.003655093552989749
"17,17,16,16,15,9,17,17,14,15,16,17,16,7,3,3,2,9,2,6",0.001242852439097912
13,0.015351262670650965
"15,17,17,15,1,17,0,5",0.002596624388295216
"17,17,14,17,15,17,17,16,15,17,16,5,0,16,17,11,4,12,3,10",0.0025615182245664315
"17,17,17,15,17,9,17,15,14,0,17,17,17,16,14,7,4,12,5",0.0
"17,17,17,16,17,16,14,8,17,15,17,5,17,1,1,4",0.001417503522872213
"17,15,3,17,17,14,16,12,4,17,16,17,12,17,6",0.0
"15,3,15,17,17,16,14,14,15,17,5,5,7,5,12,4",0.0025809472418981388
"14,17,17,17,17,16,3,5,17,17,13",0.002334368336388463
"17,15,6,15,7,17,17,17,5",0.0018943586425323954
"16,0,17,17,15,0,17,17,14,17,10,15,15,17,9,17,1,3",0.003053334426568466
"17,17,15,9,16,4,17,14,14,14,17,15,17,14,3,2,12,7,0,11",0.002577301921323746
"17,17,14,15,8,16,10,14,16,14,9,2,16,15,5,13,4,8,0",0.002593128571252759
5,0.0031784932657680557
"15,17,16,17,17,17,17,3,14,17,3,15,17,6,12,13",0.002538773806329044
12,0.0
"15,16,17,12,17,17,14,17,17,15,6,13,9,14,10,0",0.0026001435750179465
"14,2,16,11,14,17,14,13,17,16,14,15,0,0,16,1,4,1,13",0.003499506812593505
"14,16,0,16,16,14,9,17,15,16,15,5,3,7,9,8,10,13",0.0019621090100388604
"17,16,7,17,17,17,17,17,14,1,17,2",0.002912382104532115
"17,14,16,17,17,7,15,14,13,1,17,15,16,14,4,16,12,1,11,3,7",0.0018770530267480056
"17,15,17,14,15,15,14,5,17,5,15,13,17,6,2,3,10",0.002804501066655743
"17,14,17,17,14,15,17,2,17,8,17,14,14,14,15,0,13,12,10,4,2",0.004644827559820329
6,0.0031784082274755733
"17,16,17,17,14,15,17,14,17,14,16,11,10,16,16,3,5,6,5,2,10,0",0.0010811051983999644
11,0.0
"15,5,17,17,17,15,14,17,14,3,16,1,17,6,17,11,2",0.0031773966209403277
"17,15,17,14,15,4,2,10,1",0.004688352844376014
"15,10,17,14,14,17,11,14,2,8,5",0.002116712691827088
"14,17,15,14,16,16,14,15,2,2,16,8,17,9,15,6,17,3,2,5,6,11",0.002596624388295216
"17,14,6,17,15,17,17,16,12,9,17,17,15,17,14,2,1,7",0.0031794686968638873
"15,12,16,17,17,16,15,17,16,11,14,7,17,11,2,11,6",0.0
"17,14,16,17,6,17,17,9,4",0.0
"16,14,17,17,1,17,17,14,17,12,17,6,2",0.0019372472547671948
"16,15,17,14,10,14,15,17,17,15,13,9,17,17,0,11,3,13",0.014922495242406712
"17,14,17,17,14,9,17,14,15,17,17,17,2,1,9,14,2,8",0.0017682980405939724
"14,10,17,8",0.0020824036888293916
"17,17,14,17,16,14,17,17,17,16,17,1,10,15,1,14,11,10,11,11",0.0
"15,14,10,16,16,17,17,12,16,14,17,17,12,17,2,11,15,10,13,5",0.0025877033310422125
"14,16,9,17,16,15,17,15,17,11,15,17,17,5,6,17,14,8,16,7,1,1,6",0.002600284173913292
"17,17,17,17,17,5",0.0012171165015374102
"15,15,13,17,16,13,16,5,16,17,9,16,17,1,2,17,4",0.002596624388295216
"15,17,16,17,17,17,12,8,11",0.0014706004045333268
"14,17,17,7,17,14,17,4,17,17,15,14,17,5,15,13,3,2",0.0013272514774840425
"17,14,17,10,17,14,17,3,17,17,14,15,16,16,7,6,2,0,3",0.002072222724396637
"17,17,17,17,17,16,17,12,17,15,16,15,4,13,2,10",0.0013766020339561836
"16,17,17,17,17,0,14,11,17,14,17,16,2,16,4,8,13",0.003057318019971622
1,7.243609161190058e-05
9,0.0
"14,17,17,16,9,15,2,17,17,17,17,17,17,4,17,5",0.002955507433831953
"14,4,15,14,16,17,17,17,17,17,10,17,16,11,11,10,1",0.002139129102732906
7,0.0031782863471912204
"14,15,4,16,17,5,17,15,9,17,9,2",0.0021109275683789753
"14,2,17,17,14,17,14,8,17,15,15,14,17,14,7,7,1,12,6,2",0.002596624388295216
"17,17,16,10,17,17,15,6,1",0.0036216658444835573
"14,17,4,16,15,15,17,17,17,14,17,16,17,3,17,3,2,10,13,4",0.002204482392029897
"16,12,15,1,17,17,14,16,15,15,2,17,10,3,2,10",0.0
"16,16,14,15,2,17,12,16,17,16,16,2,17,4,9,1,10,11",0.0
"15,17,17,17,17,2,17,17,17,4",0.0021109275683789753
"17,17,15,8,14,8,17,16,17,17,16,17,17,17,17,8,15,4,3,4",0.002596624388295216
"15,13,16,17,17,1,17,14,17,17,11,9",0.014564109079935836
"16,14,17,14,15,16,9,14,9,17,3,5,14,1,11,6,8",0.003178292015834387
"17,15,17,12,17,17,16,7,5",0.0
"15,5,17,15,14,17,12,1,17,15,16,17,17,11,8,11",0.0031772238338144336
"17,16,16,17,14,17,17,17,7,17,16,8,17,12,9,5",0.002596624388295216
"14,14,15,2,0,17,14,17,17,0,4,16,7,8",0.002900705735360628
"17,15,11,14,14,0,14,7,15,14,4,9,12,17,2",0.0010542506488928766
"17,14,15,15,17,8,15,16,14,3,6,14,16,15,1,9,5,12,12,3,7",0.00132886581302858
"15,16,17,14,17,15,17,8,12,9,17,16,17,16,13,15,1,1,6,0",0.003104994522915753
"15,15,15,17,17,17,16,17,17,17,17,1,2,17,3,4,1",0.002596624388295216
"16,17,17,17,17,16,8,16,16,17,6,17,17,14,2,9,13,13",0.04255982539558812
"17,17,16,11,17,14,4,17,17,16,17,17,11,17,16,6,0",0.0
"17,17,14,8,17,16,8,17,14,15,15,0,11,13,10",0.002244300877357684
"17,14,2,17,17,17,17,9",0.0022638971906754333
"15,16,15,14,15,17,10,9,14,14,17,1,17,11,17,8,8,8,6",0.0031771133732047393
"15,17,13,17,14,17,15,17,17,17,4,14,11,8,9",0.001406354761164985
"14,17,14,3,10,17,11",0.0026041797084320334
"14,10,16,4,15,17,17,15,16,14,9,6,8,15,14,9,7,8,10",0.0023719257606740407
"17,17,14,17,16,17,15,16,17,16,8,8,9,10,9,2",0.0014388352557375337
"17,17,15,14,5,17,17,17,17,17,7,17,16,8,5",0.0013824464535170517
"14,16,17,3,17,13,17,1",0.002861426012091883
"16,15,16,11,0,11,14,15,16,16,15,3,6,17,8,16,8,1,2,10",0.0
"17,17,17,16,17,15,7,4,15,17,14,17,17,17,2,1,8",0.002619475583882555
"17,17,14,0,17,15,17,17,17,17,6,10",0.0012675456995494177
"17,17,16,17,17,17,14,6,17,0,7",0.003384760083146938
"17,17,17,17,17,15,14,10,17,14,2,17,14,17,7,9,12",0.004291001659141317
"17,14,2,17,15,17,5,16,16,11,14,3,5,17,17,13",0.001088528366606228
"17,17,15,1,17,14,16,17,11,15,7,13,17,1",7.243609161190058e-05
"17,17,17,16,17,13,14,16,17,17,14,12,17,11,1,14,5,12",0.0037866743749096687
"14,15,8,0,17,17,16,14,14,14,16,14,15,13,2,10,13,13,1,11,1",0.0016474338929015429
"16,0,15,17,11,15,17,9,2",0.003053334426568466
"14,14,1,6,16,7,15,16,7,17,17,15,13,16,13,0,6",0.002790518500887109
"14,15,13,17,15,12,5,15,13,9",0.002589611064467573
"17,16,3,17,17,14,16,14,4,3,15,17,7,3,10",0.002120121231093214
"17,17,17,17,15,17,17,15,9,14,15,0,15,16,15,13,7,13,1,7,11",0.002814487152721639
"17,16,17,16,13,17,15,3,14,17,17,12,16,17,15,0,2,12,13",0.001406354761164985
"17,15,17,5,17,0",0.0033843087011110134
"16,15,15,11,13,17,16,17,14,17,6,1,16,12,5,10",0.003655093552989749
"16,10,17,15,10,15,12,10",0.0
"15,17,17,17,4,16,14,0,17,12,17,17,7",0.0031050358066768663
"17,17,17,17,17,16,17,16,14,17,16,2,4,2,17,8,5",0.0011810091984117163
"17,15,16,7,11,17,14,1,1",0.0026034756399793725
"17,17,16,10,14,17,6,17,17,17,17,8",0.0036352373500260827
"15,10,17,17,14,6,14,0,1",0.0018998517539919233
"17,17,17,17,15,15,3,16,16,17,16,17,1,17,1,1,13,4",0.0026724668657713605
"16,17,17,14,17,14,4,17,17,17,7,1,7",0.0021953301803694114
"17,14,17,17,17,15,17,5,0,6",0.002320265964815071
"15,16,17,15,15,17,16,11,13,17,5,16,17,9,6,13,11",0.0
"15,10,17,16,17,14,8,0,17,15,14,4,8,8",0.002596624388295216
"17,17,17,17,17,17,16,1,16,17,15,9,5,14,17,1,8",0.0
"15,15,17,15,0,17,15,17,15,8,16,15,11,11,7,0,3,0",0.0025970449338716733
"17,17,17,16,7,17,14,17,14,17,14,15,12,15,2,0,0,11,12",0.002599267609679041
"16,14,17,17,17,15,14,3,14,17,17,1,4,5,8,11",0.0
"17,14,16,17,9,16,5,14,17,17,17,17,4,6,10",0.0054470564474175445
"17,17,17,17,17,17,17,17,17,9",0.0033273854794360264
"15,17,15,17,6,17,17,17,14,11,15,14,17,16,11,15,8,9,13,8,7",0.003177141695705778
"17,17,17,17,16,14,14,17,17,14,14,14,16,16,9,3,4,1,2,6,9,11,11",0.0
"17,17,17,15,15,16,15,11,16,17,17,17,14,15,4,9,4,12,9,7,3",0.0014410647712623252
"17,16,17,17,17,15,15,14,14,14,15,9,17,10,17,8,10,0,3,2,3",0.002596624388295216
"17,17,17,17,15,14,7,15,17,16,14,11,6,17,17,12,10,7",0.002596624388295216
"14,14,9,17,5,17,15,16,12,17,15,17,0,16,5,5,3",0.0015392021168532625
"17,15,17,1,17,16,17,5,15,17,0,17,15,11,17,11",0.0
"17,15,17,7,16,15,15,5,2,16,9,4,17,5",0.003178836299741786
"16,13,14,15,2,7,15,9,17,10",0.015351262670650965
"17,17,17,17,17,17,16,17,5,0",0.0014471046546785347
"17,17,14,17,2,17,17,14,4,17,15,17,17,1,5",0.002080702907449366
"17,17,16,14,17,2,13,14,10,7",0.00371471387916685
"17,16,16,12,0,17,14,15,13,17,3,15,17,6,7",0.002596624388295216
"16,17,17,5,17,15,17,3,16,17,17,17,14,17,17,17,13,11,11",0.0031849585454102763
"14,17,14,17,3,16,5,16,17,1,15,17,16,4,6,8,10",0.0031855904002331004
"15,17,15,16,17,15,17,17,14,4,16,17,8,17,17,8,12,6,8,2",0.001565007201673252
"16,17,8,17,15,17,17,17,17,16,9,9,17,3",0.002688494904794021
"14,17,2,15,14,14,14,15,17,15,16,14,6,17,15,2,14,9,13,13,11,3,8,13,7,9",0.003166405907309372
"17,14,16,14,11,14,14,17,7,16,2,8,8,17,2,12",0.008028519379698078
"17,17,16,14,16,1,17,14,17,17,9,17,11,14,5,11,8",0.003178277844264386
"15,15,14,15,15,17,15,0,17,16,16,8,15,1,9,3,3,13,13,8,6",0.0025969745246787494
"14,16,14,3,17,16,17,13,17,17,9,17,1,16,6,1",7.243609161190058e-05
"17,16,14,17,17,14,8,17,17,17,2,8,11",0.002604759267289805
"16,9,17,15,15,7,17,17,17,14,8,0,1",0.0
"17,17,17,16,17,6,16,6,16,1,15,14,6,7,8",0.002596624388295216
"16,17,3,14,17,16,17,15,17,5,17,17,16,17,7,17,12,10,11",0.0024202198366351613
"17,15,6,17,15,16,16,15,12,7,15,6,17,17,16,14,13,3,6,4,8",0.0018111526438736605
"17,15,17,16,16,16,14,17,16,5,0,17,17,11,13,7,13,9",0.014721471805218343
"17,17,15,13,16,9,17,5",0.007288739811065054
"17,17,17,17,17,17,16,13,14,14,8,13,15,12,9",0.0
"14,17,16,14,8,15,15,14,12,16,15,3,0,4,6,7,3,4",0.0026725241458417713
"16,14,17,17,17,17,17,15,17,14,17,15,8,9,11,6,4,2",0.0015025439109779925
"17,14,16,15,1,17,10,14,13,10,15,15,9,5,3",0.0
"14,16,16,15,15,17,8,6,17,9,17,17,16,2,12,5,8",0.002596624388295216
"17,17,17,14,17,16,17,14,17,7,11,17,2,12",0.003850635095634183
"17,14,10,17,15,7,15,3,17,4",0.0036415083233026085
"16,8,14,16,16,13,11,3,17,17,14,17,3,11",0.003178277844264386
"14,17,15,17,6,14,17,17,17,4,16,15,8,4,6,8",0.002596624388295216
"17,14,15,0,15,15,10,3,12,15,14,1,7,17,17,5",0.0
"17,17,16,13,14,14,17,12,17,17,13,0",0.014710404920553562
"14,2,16,11,17,14,8,15,1,0",0.0035114013995882452
"17,17,17,17,14,17,17,16,17,14,15,7,3,10,6,3",0.002596789255570434
"16,16,15,11,8,16,16,17,17,14,17,17,17,4,11,7,4,12",0.0
"16,16,17,15,8,17,3,17,14,16,16,7,13,3,4,5",0.03684107387811091
"16,17,14,4,16,17,17,17,17,17,14,14,7,15,14,9,3,12,9,8,2",0.0006645425345858329
"17,14,17,10,16,17,7,17,11",0.0028103236766612093
"17,17,16,16,17,5,0,17,16,15,3,5,15,4,7",0.0016292798626687428
"17,15,10,14,17,10,16,16,4,17,3,15,17,7,7",0.002626930434718873
"14,17,0,17,14,17,7,15,15,16,7,17,15,7,17,1,0,2",0.0026057207084547594
"17,17,17,14,17,16,17,16,17,9,4,17,5,4",0.006322362430076753
"17,17,16,3,15,14,17,9,17,14,15,15,16,17,6,8,6,10,0,3",0.0031747645457277564
"17,16,12,17,17,17,16,9,15,1,15,17,8,9",0.003919579700453659
"17,16,17,5,17,14,17,12,17,17,15,17,17,0,3",0.002546397126555794
"15,17,14,14,8,14,16,17,17,17,3,1,14,14,17,14,0,12,11,11,2,7",0.0025972469182666373
"16,8,17,14,15,17,17,10,5,7",0.001857661161892323
"17,15,17,17,17,0,17,17,1",0.005781651206761558
"17,14,17,1,16,10,15,6,17,14,16,2,17,15,6,7,2",0.003936017315718909
"15,15,6,1,16,14,3,14,16,17,4,4,13,17,8",0.002596624388295216
"16,17,16,17,14,9,4,16,15,16,14,17,17,2,7,0,0,8,6",0.0032415176196128187
"16,13,17,16,15,12,16,14,17,7,17,17,11,10,1",0.015351262670650965
"16,1,15,17,17,14,17,3,14,17,15,14,0,6,3,12,7",7.24618587125504e-05
"15,17,15,16,17,16,17,15,13,17,17,16,17,9,15,7,7,12,12,1,6",0.002861808458530902
"15,17,9,15,17,6,16,17,15,15,17,15,6,5,17,13,4,13",0.0029720836429253795
"16,2,17,16,17,17,9,9",0.0022638971906754333
"16,3,17,14,15,14,3,15,15,2,10,17,17,1,6,17,4",0.002673532032874542
"17,17,16,2,17,15,17,15,16,15,17,17,15,5,4,11,9,11,12",0.0
"17,17,15,17,15,16,17,17,1,14,16,16,0,1,17,15,17,8,0,7,8,3",0.002859634375319156
"16,17,14,13,1,17,14,17,0,12",0.022411444141689375
"17,16,17,17,17,15,17,0,17,15,8,16,2,6,5",0.0013502504798913809
"16,14,10,12,16,14,8,7,14,15,14,17,17,12,6,2,8",0.001963815052752706
"17,15,17,15,17,15,12,14,17,17,14,14,16,1,2,0,6,8,6,6",0.0018068931732097026
"17,17,15,2,17,17,1",0.0011541009636191724
"17,17,17,14,15,3,1,15,15,17,14,7,15,2,1,2,17,3",0.0024985976288042296
"17,17,15,17,15,17,17,17,17,17,15,17,17,10,12,4,0",0.0029598700678847224
"17,15,9,15,17,17,17,17,13,17,17,2",0.0016469790592141347
"14,0,17,17,17,17,17,17,17,5",0.0012672747483188408
"16,10,14,15,5,1,17,17,17,14,12,1",0.0024764273700012603
"14,17,16,14,10,17,5,12,2",0.000946803250066206
"16,14,16,10,16,11,17,17,17,15,17,14,17,13,10,1,9,9",0.0
"14,14,17,17,17,7,17,16,17,4,14,1,17,14,3,0,5",0.0031250163487880974
"15,4,17,15,2,17,17,17,14,14,4,14,17,2,12,13",0.002621410172762703
"17,14,8,17,17,14,17,17,17,15,17,17,10,14,3,4,0",0.004793699708953946
"17,14,15,8,14,5,17,15,9,17,17,15,17,15,6,1,7,11",0.0026134949679451967
"17,17,16,17,17,8,17,17,16,17,4,17,6",0.0031415037166215225
"17,17,16,16,17,15,17,14,17,17,16,14,12,17,17,6,8,11,3,10,9",0.0
"17,17,17,17,17,16,14,3,17,5,5",0.0025972357990424475
"15,5,17,17,17,14,7,14,17,14,14,17,17,8,5,4,9",0.0031783175249788646
"17,17,15,14,2,15,4,17,15,1,12,17,17,11",0.002653030285361104
"17,17,17,17,17,17,17,17,5",0.0031784932657680557
"17,17,16,17,17,15,13,15,5,6,15,16,14,11,17,0,13,13",0.015351262670650965
"14,16,17,16,15,14,17,17,14,15,17,17,17,13,4,6,10,5,4,13,3",0.002588136092585076
"17,15,12,17,17,15,8,16,16,14,16,9,0,7,10,13",0.0033768927157926745
"17,14,3,15,16,17,16,17,6,17,17,15,17,15,16,5,6,3,10,3,10",0.0026727256078018405
"17,17,17,17,17,17,14,15,17,14,1,13,17,4,14,2,9",0.002587051498729049
"17,17,17,17,14,17,13,14,10,1",0.0019004728384712075
"15,17,11,16,2,17,17,5",0.0025985336845637105
"17,17,17,16,4,17,17,16,14,15,14,17,17,9,17,10,13,11,13",0.002596624388295216
"16,14,16,17,16,17,15,6,16,9,12,16,16,15,14,9,1,6,8,2,9,7,11",0.0
"15,16,13,14,14,12,8,9,6",0.0031784082274755733
"15,17,2,15,17,17,15,15,17,14,14,9,3,17,0,4,0,2",0.002596624388295216
"15,17,14,11,14,2,12,3",0.003174311615751362
"14,17,15,15,14,13,17,16,17,9,3,17,17,17,16,17,0,12,6,6",0.002596624388295216
"14,17,14,17,12,15,16,15,6,8,1,9,17,4",0.001102318550570217
"16,17,16,14,11,17,17,9,17,16,17,1,1,17,16,17,1,0",0.0
"17,17,15,17,3,2",0.0017586967554557287
"14,16,17,15,16,14,16,16,16,16,14,15,17,13,7,13,4,7,0,7,3,12,5,7,0",0.002596624388295216
"17,17,17,17,14,15,13,16,15,17,14,17,6,3,3,9,11",0.0016390764539316051
"16,17,17,17,17,6,17,17,17,16,0,17,14,15,14,2,5,4,11",0.0019657464550488298
"17,16,17,15,7,15,17,15,0,17,10,13,17,13",0.0032360934662028266
"17,17,16,12,14,17,3,17,16,9,12",0.0
"16,15,17,11,11,16,10,14,11,15,16,7,16,17,17,9,7,9",0.003655093552989749
"16,6,17,17,16,9,0",0.0
"17,16,15,16,0,13,14,16,15,15,6,17,17,12,3,15,11,7,13,9",0.002600326898238636
"14,17,12,16,17,1,16,17,12,8",0.0034050884790959492
"16,12,17,17,14,6,17,15,10,7",0.0
"15,15,15,13,8,16,15,2,14,11,14,9,16,16,7,16,7,13,1,7,8",0.0032255332426950768
"17,17,17,17,17,17,17,15,14,17,17,16,9,1,12,17,7",0.0
"14,1,16,17,14,2,14,17,14,17,15,14,14,3,17,0,10,13,9,12,7",0.004249305174793443
"15,17,16,1,8,4",0.002635437244651088
"14,17,11,17,14,9,17,2",0.0
"16,14,16,15,16,14,6,14,6,16,17,15,15,5,9,12,11,6,4,0,4,2",0.0015019555163405822
"17,16,6,16,13,17,16,17,6,14,17,11,14,17,17,12,5",0.0018449788356542543
"17,14,15,17,17,14,11,14,17,17,3,15,4,5,15,5,16,0,3,11",0.0026134949679451967
"14,17,1,16,16,16,12,17,14,17,3,15,2,6,16,7,12,7",6.054518184194955e-05
"17,17,17,17,14,10,1",0.0019004728384712075
"17,15,17,15,17,10,8,14,4,5",0.0010787077418348988
"17,17,16,0,17,12",0.0038359992744519764
"15,14,12,9,17,17,17,9",0.002596624388295216
"17,15,4,15,17,16,17,15,13,16,17,14,12,17,4,3,9,12",0.0
"17,16,14,17,0,2,16,13,14,15,17,17,14,6,8,10,12",0.002596624388295216
"17,16,16,14,17,6,8,17,15,14,6,15,16,4,10,12,10,8",0.0022048654261339774
"16,14,7,14,14,17,17,17,2,12,7,16,0,17,15,17,3,4",0.006791757799010014
"17,15,17,9,16,15,13,14,12,14,17,17,0,14,17,2,1,13",0.0
"16,16,15,17,17,16,17,12,17,16,17,0,17,17,5,10,2,5",0.001511900909264704
"17,15,17,16,17,14,14,14,15,1,0,16,0,14,14,5,16,13,11,12,4,11,5,1",0.004380703400881977
"14,0,17,14,17,17,0,16,8,17,17,14,17,17,4,12",0.0022159921504043855
"17,17,17,14,17,17,8,14,17,8,7",0.0021002030196252304
"15,14,8,17,17,17,14,4,17,17,6,17,17,15,17,17,7,8",0.002596624388295216
"17,15,17,13,14,8,17,17,14,14,17,17,14,17,11,6,12,5",0.03272292492605878
"16,17,14,10,17,17,17,17,17,17,2,16,13,14,16,8,4,8",0.0
"17,17,17,15,5,17,16,17,14,14,1,4,17,17,16,5,2,3",0.001784023746751606
"16,7,16,17,13,17,17,1",0.0
"17,15,8,14,17,5,16,17,17,8,16,2,15,1,12",0.0012844355110891875
"17,17,16,17,14,14,17,0,17,17,14,17,16,8,17,8,1,1,7",0.005151629530897981
"14,17,15,2,4,14,5,17,15,14,17,16,7,17,17,13,9,0",0.002279549248149926
"17,17,14,11,14,17,17,2,16,13,17,15,8,17,16,2,7",0.002605855730090618
"15,16,17,17,14,17,8,16,17,17,14,17,14,11,2,11,1,17,13,5",0.002789874103408515
"17,14,5,15,16,16,15,14,13,3,17,17,14,14,11,4,7,13,12,0",0.0020163041349561405
"14,17,17,14,3,10,14,11,14,17,0,17,7",0.002596624388295216
"15,14,16,15,16,4,0,17,17,4,6,17,0,1",0.0016424508364604531
"17,17,17,17,17,17,17,14,17,8,14,17,15,1,1,16,7,3",0.0026340814615686214
"17,15,16,17,17,14,2,14,17,14,6,10,0,2,17,2",0.0018943728675100968
"17,14,11,15,14,14,17,17,17,16,6,1,14,0,7,12,8",0.0
"17,16,17,16,17,12,17,3,17,3",0.003232590192818677
"14,17,17,17,16,17,14,5,17,6,11,6",0.0031784082274755733
"17,17,17,15,5,16,14,4,15,0,3,17,17,2",0.0012947523857674633
"14,1,17,17,17,17,15,12,9",0.0026766746708866223
"15,17,14,9,13,17,14,15,15,17,14,17,4,17,14,7,2,4,3,7",0.001099105995034396
"17,14,14,10,9,1",0.004490210588368096
"17,17,16,17,16,15,17,17,17,3,15,14,16,11,13,15,4,10,11,8,12",0.0
"17,14,17,14,11,17,8,17,16,17,17,17,15,7,0,6",0.0
"17,17,15,2,17,16,7,14,15,16,15,14,17,13,9,17,17,12,5,0,10",0.0023151265857343064
"17,17,17,17,15,14,15,17,14,0,14,2,17,11,6,11,5",0.0025966447640156398
"17,14,13,17,14,12,17,17,15,14,17,15,17,10,17,13,6,2",0.015351262670650965
"16,14,7,5,15,14,17,14,15,5,7,17,17,17,3,3,1",0.002596624388295216
"17,17,17,14,17,14,17,17,17,14,12,12,4,5",0.0
"16,15,15,17,1,15,10,11,5,17,9",0.003759786807693102
"17,17,14,17,17,17,4,14,13,9",0.0022562333317695123
"15,16,3,14,3,17,14,4,17,2,10",0.0025399462161753788
"17,17,14,16,4,16,17,14,16,10,17,17,14,15,6,10,0,3,11,11",0.002596624388295216
"16,7,17,14,16,17,9,17,17,16,14,17,15,1,5,1,4,9",0.003672111081360211
"17,17,17,16,17,3,15,15,15,17,14,3,14,5,17,7,13,4,7",0.0030530697368308587
"16,11,15,17,16,16,17,17,6,10,13,16,3,17,3",0.0
"17,17,17,17,15,14,3,17,17,16,16,16,16,15,17,0,0,7,1,6,3,1",0.0015054035613927745
"17,14,17,17,17,13,14,17,13,9",0.0018498355531018544
"17,17,15,1,17,16,17,6,17,15,15,17,16,9,17,3,6,10",0.002596624388295216
"17,17,15,9,17,17,8",0.0031726758191183094
"14,4,15,17,17,15,17,16,17,17,16,15,16,14,6,0,8,4,1,5,3,12",0.0025969356159731517
"17,17,17,14,16,13,17,17,17,8,2",0.05080324042290265
"17,17,17,16,17,15,17,17,17,16,13,17,14,16,10,4,5,4,11",0.002596624388295216
"17,16,7,15,12,17,17,14,16,2,1,3",0.0012769324434330329
"15,17,16,7,14,14,15,17,16,14,12,14,17,4,17,10,10,12,11,3,4",0.0022250996923863188
"15,11,17,17,17,17,17,14,15,2,3,14,14,17,11,1,4",0.00025290844714213456
"15,17,15,0,3,17,15,16,16,0,14,14,9,17,17,6,2,11,13",0.0018992137224357725
"17,14,10,14,11,17,14,14,15,9,17,10,11,3",0.0
