r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.594291232526302338e-02,2.594291232526302338e-02,2.754778601229190826e-03,1.487724203616380692e-02,1.049400043487548828e+01,4.538461685180664062e+00,-1.000000000000000000e+00,3.460000000000000000e+02,8.000000000000000000e+00,3.460000000000000000e+02,8.000000000000000000e+00,3.183687210083007812e+00,2.663593530654907227e+00,1.299999952316284180e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.204869766235351562e+02,5.000000000000000000e+02
4.238410666584968567e-02,4.238410666584968567e-02,2.815485233440995216e-03,1.587172225117683411e-02,1.068799972534179688e+01,9.600000381469726562e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.600000000000000000e+01,3.300000000000000000e+02,1.500000000000000000e+01,3.171353101730346680e+00,2.625082254409790039e+00,1.400000005960464478e-01,0.000000000000000000e+00,8.257257752120494843e-03,1.118233871459960938e+02,1.000000000000000000e+03
4.238410666584968567e-02,1.798501238226890564e-02,2.575134392827749252e-03,9.904501028358936310e-03,1.009799957275390625e+01,7.222222328186035156e+00,-1.000000000000000000e+00,3.350000000000000000e+02,1.700000000000000000e+01,3.190000000000000000e+02,1.500000000000000000e+01,3.182836294174194336e+00,2.787388563156127930e+00,1.420000046491622925e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.233203887939453125e+02,1.500000000000000000e+03
4.238410666584968567e-02,2.443587034940719604e-02,2.656444674357771873e-03,1.288987137377262115e-02,1.045199966430664062e+01,9.920000076293945312e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.600000000000000000e+01,3.310000000000000000e+02,1.500000000000000000e+01,3.175793409347534180e+00,2.599882125854492188e+00,1.360000073909759521e-01,0.000000000000000000e+00,8.094711229205131531e-03,1.405972595214843750e+02,2.000000000000000000e+03
4.238410666584968567e-02,2.280629426240921021e-02,2.719416050240397453e-03,1.185613777488470078e-02,1.060599994659423828e+01,8.187500000000000000e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.800000000000000000e+01,3.380000000000000000e+02,1.600000000000000000e+01,3.171400547027587891e+00,2.755897283554077148e+00,1.199999973177909851e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.240587387084960938e+02,2.500000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.878286177292466164e-03,1.671124994754791260e-02,1.123799991607666016e+01,7.760000228881835938e+00,-1.000000000000000000e+00,3.620000000000000000e+02,1.400000000000000000e+01,3.460000000000000000e+02,1.300000000000000000e+01,3.164435148239135742e+00,2.649039268493652344e+00,1.280000060796737671e-01,0.000000000000000000e+00,1.190756633877754211e-02,1.237710800170898438e+02,3.000000000000000000e+03
6.728424876928329468e-02,2.640003897249698639e-02,2.445842605084180832e-03,9.715867228806018829e-03,1.100399971008300781e+01,6.114285945892333984e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.600000000000000000e+01,3.370000000000000000e+02,1.200000000000000000e+01,3.173936843872070312e+00,2.798719406127929688e+00,1.260000020265579224e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.216022567749023438e+02,3.500000000000000000e+03
6.728424876928329468e-02,1.443461608141660690e-02,2.650160575285553932e-03,1.085790246725082397e-02,1.046800041198730469e+01,4.710526466369628906e+00,-1.000000000000000000e+00,3.380000000000000000e+02,1.400000000000000000e+01,3.220000000000000000e+02,1.200000000000000000e+01,3.162621259689331055e+00,2.839608430862426758e+00,1.280000060796737671e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.194492111206054688e+02,4.000000000000000000e+03
6.728424876928329468e-02,1.443461608141660690e-02,2.519008703529834747e-03,1.310352329164743423e-02,1.059200000762939453e+01,4.679999828338623047e+00,-1.000000000000000000e+00,3.410000000000000000e+02,1.100000000000000000e+01,3.250000000000000000e+02,1.000000000000000000e+01,3.166915178298950195e+00,2.605173349380493164e+00,1.379999965429306030e-01,0.000000000000000000e+00,7.940414361655712128e-03,1.268673934936523438e+02,4.500000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.777587855234742165e-03,1.718374155461788177e-02,1.044999980926513672e+01,8.239999771118164062e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.500000000000000000e+01,3.230000000000000000e+02,1.400000000000000000e+01,3.175656318664550781e+00,2.632573843002319336e+00,1.299999952316284180e-01,0.000000000000000000e+00,7.482229731976985931e-03,1.242353210449218750e+02,5.000000000000000000e+03
6.728424876928329468e-02,3.434816375374794006e-02,2.683356637135148048e-03,1.433117687702178955e-02,1.064599990844726562e+01,7.079999923706054688e+00,-1.000000000000000000e+00,3.500000000000000000e+02,1.400000000000000000e+01,3.330000000000000000e+02,1.200000000000000000e+01,3.168260335922241211e+00,2.579526662826538086e+00,1.299999952316284180e-01,0.000000000000000000e+00,8.257257752120494843e-03,1.187922439575195312e+02,5.500000000000000000e+03
