r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.562195807695388794e-02,2.562195807695388794e-02,2.728341612964868546e-03,1.091336738318204880e-02,9.697999954223632812e+00,5.351351261138916016e+00,-1.000000000000000000e+00,3.270000000000000000e+02,1.300000000000000000e+01,3.270000000000000000e+02,1.300000000000000000e+01,3.188125610351562500e+00,2.827113389968872070e+00,1.120000034570693970e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.157645416259765625e+02,5.000000000000000000e+02
2.562195807695388794e-02,1.443461608141660690e-02,2.388055901974439621e-03,1.072330959141254425e-02,1.081200027465820312e+01,7.281250000000000000e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.600000000000000000e+01,3.380000000000000000e+02,1.400000000000000000e+01,3.189259767532348633e+00,2.761904001235961914e+00,1.260000020265579224e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.185191268920898438e+02,1.000000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.777281217277050018e-03,1.561813615262508392e-02,1.090200042724609375e+01,7.800000190734863281e+00,-1.000000000000000000e+00,3.580000000000000000e+02,1.400000000000000000e+01,3.420000000000000000e+02,1.300000000000000000e+01,3.169657707214355469e+00,2.600923061370849609e+00,1.319999992847442627e-01,0.000000000000000000e+00,9.439321234822273254e-03,1.409097900390625000e+02,1.500000000000000000e+03
6.728424876928329468e-02,1.446114201098680496e-02,2.708517014980316162e-03,1.349754817783832550e-02,1.080399990081787109e+01,6.079999923706054688e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.100000000000000000e+01,3.380000000000000000e+02,1.000000000000000000e+01,3.178658485412597656e+00,2.664466857910156250e+00,1.299999952316284180e-01,0.000000000000000000e+00,9.231242351233959198e-03,1.406502838134765625e+02,2.000000000000000000e+03
6.728424876928329468e-02,1.597303710877895355e-02,2.483885968104004860e-03,1.164525374770164490e-02,1.019400024414062500e+01,5.633333206176757812e+00,-1.000000000000000000e+00,3.380000000000000000e+02,1.100000000000000000e+01,3.220000000000000000e+02,9.000000000000000000e+00,3.187947034835815430e+00,2.742748498916625977e+00,1.620000004768371582e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.075114212036132812e+02,2.500000000000000000e+03
6.728424876928329468e-02,6.224435195326805115e-02,2.871968317776918411e-03,1.593199558556079865e-02,1.012600040435791016e+01,6.880000114440917969e+00,-1.000000000000000000e+00,3.320000000000000000e+02,1.200000000000000000e+01,3.160000000000000000e+02,1.100000000000000000e+01,3.205595731735229492e+00,2.640473842620849609e+00,1.400000005960464478e-01,0.000000000000000000e+00,8.936805650591850281e-03,1.090621948242187500e+02,3.000000000000000000e+03
9.937590360641479492e-02,9.937590360641479492e-02,2.942950464785099030e-03,1.916860975325107574e-02,1.086600017547607422e+01,6.880000114440917969e+00,-1.000000000000000000e+00,3.570000000000000000e+02,1.200000000000000000e+01,3.410000000000000000e+02,1.100000000000000000e+01,3.180745601654052734e+00,2.636061668395996094e+00,1.439999938011169434e-01,0.000000000000000000e+00,1.037738658487796783e-02,1.191467285156250000e+02,3.500000000000000000e+03
9.937590360641479492e-02,2.533641643822193146e-02,2.766695339232683182e-03,1.526893023401498795e-02,1.026399993896484375e+01,5.519999980926513672e+00,-1.000000000000000000e+00,3.440000000000000000e+02,1.100000000000000000e+01,3.270000000000000000e+02,1.000000000000000000e+01,3.202373743057250977e+00,2.629654169082641602e+00,1.379999965429306030e-01,0.000000000000000000e+00,1.115154288709163666e-02,1.164821166992187500e+02,4.000000000000000000e+03
9.937590360641479492e-02,1.723521389067173004e-02,2.608247101306915283e-03,1.350609492510557175e-02,1.065400028228759766e+01,9.159999847412109375e+00,-1.000000000000000000e+00,3.490000000000000000e+02,1.500000000000000000e+01,3.330000000000000000e+02,1.400000000000000000e+01,3.197810649871826172e+00,2.563696861267089844e+00,1.500000059604644775e-01,0.000000000000000000e+00,8.355564437806606293e-03,1.255408248901367188e+02,4.500000000000000000e+03
9.937590360641479492e-02,1.517687737941741943e-02,2.584081608802080154e-03,1.329944562166929245e-02,1.061600017547607422e+01,6.880000114440917969e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.200000000000000000e+01,3.330000000000000000e+02,1.100000000000000000e+01,3.209521055221557617e+00,2.558399200439453125e+00,1.319999992847442627e-01,0.000000000000000000e+00,7.533798925578594208e-03,1.298505249023437500e+02,5.000000000000000000e+03
