r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
4.895823448896408081e-02,4.895823448896408081e-02,3.112365724518895149e-03,2.012405917048454285e-02,1.052400016784667969e+01,8.159999847412109375e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.200000000000000000e+01,3.460000000000000000e+02,1.200000000000000000e+01,2.705682516098022461e+00,2.365468502044677734e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.830595703125000000e+02,5.000000000000000000e+02
4.895823448896408081e-02,4.395995661616325378e-02,3.072850173339247704e-03,1.788626052439212799e-02,1.086400032043457031e+01,5.719999790191650391e+00,-1.000000000000000000e+00,3.610000000000000000e+02,1.100000000000000000e+01,3.460000000000000000e+02,1.000000000000000000e+01,2.695094823837280273e+00,2.359907150268554688e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.363368611782789230e-02,4.788275146484375000e+02,1.000000000000000000e+03
4.895823448896408081e-02,2.761286683380603790e-02,2.947356551885604858e-03,1.710261590778827667e-02,1.074600028991699219e+01,6.800000190734863281e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.000000000000000000e+01,3.330000000000000000e+02,9.000000000000000000e+00,2.694111585617065430e+00,2.387569665908813477e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493276096880435944e-02,4.694778442382812500e+02,1.500000000000000000e+03
4.895823448896408081e-02,4.395995661616325378e-02,2.763090655207633972e-03,1.632973179221153259e-02,1.092399978637695312e+01,8.319999694824218750e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.400000000000000000e+01,3.400000000000000000e+02,1.300000000000000000e+01,2.694776296615600586e+00,2.359721183776855469e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.337483879178762436e-03,4.740273742675781250e+02,2.000000000000000000e+03
4.918333515524864197e-02,4.918333515524864197e-02,3.019257448613643646e-03,1.781882345676422119e-02,1.071399974822998047e+01,1.239999961853027344e+01,-1.000000000000000000e+00,3.590000000000000000e+02,2.100000000000000000e+01,3.450000000000000000e+02,2.000000000000000000e+01,2.685821294784545898e+00,2.210288763046264648e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.410546764731407166e-03,4.949222717285156250e+02,2.500000000000000000e+03
1.141889169812202454e-01,1.141889169812202454e-01,2.974065253511071205e-03,2.015669830143451691e-02,1.027400016784667969e+01,6.599999904632568359e+00,-1.000000000000000000e+00,3.360000000000000000e+02,1.100000000000000000e+01,3.210000000000000000e+02,1.000000000000000000e+01,2.718796730041503906e+00,2.402230501174926758e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.174255367368459702e-02,4.552421264648437500e+02,3.000000000000000000e+03
1.141889169812202454e-01,4.983289539813995361e-02,2.926877466961741447e-03,1.795718818902969360e-02,1.085200023651123047e+01,6.599999904632568359e+00,-1.000000000000000000e+00,3.560000000000000000e+02,1.100000000000000000e+01,3.410000000000000000e+02,1.000000000000000000e+01,2.686317443847656250e+00,2.373435497283935547e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.490780711174011230e-02,4.920525512695312500e+02,3.500000000000000000e+03
1.141889169812202454e-01,6.180322915315628052e-02,2.533798106014728546e-03,1.310213375836610794e-02,1.111400032043457031e+01,1.073076915740966797e+01,-1.000000000000000000e+00,3.610000000000000000e+02,1.900000000000000000e+01,3.460000000000000000e+02,1.800000000000000000e+01,2.694078207015991211e+00,2.296729087829589844e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.899951163679361343e-03,4.949003295898437500e+02,4.000000000000000000e+03
1.141889169812202454e-01,5.240627005696296692e-02,2.922975225374102592e-03,1.755649037659168243e-02,1.008399963378906250e+01,4.440000057220458984e+00,-1.000000000000000000e+00,3.290000000000000000e+02,8.000000000000000000e+00,3.140000000000000000e+02,7.000000000000000000e+00,2.710139513015747070e+00,2.358631849288940430e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532074157148599625e-02,4.400617370605468750e+02,4.500000000000000000e+03
1.141889169812202454e-01,2.599903754889965057e-02,2.599415602162480354e-03,1.468118838965892792e-02,1.059000015258789062e+01,5.719999790191650391e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.100000000000000000e+01,3.310000000000000000e+02,1.000000000000000000e+01,2.712701320648193359e+00,2.401374816894531250e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.110208272933959961e-03,4.746940612792968750e+02,5.000000000000000000e+03
1.141889169812202454e-01,4.395995661616325378e-02,2.804260700941085815e-03,1.664771884679794312e-02,1.046800041198730469e+01,8.000000000000000000e+00,-1.000000000000000000e+00,3.500000000000000000e+02,1.400000000000000000e+01,3.350000000000000000e+02,1.300000000000000000e+01,2.707107543945312500e+00,2.364505052566528320e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.150373887270689011e-03,4.754405517578125000e+02,5.500000000000000000e+03
1.141889169812202454e-01,1.003886386752128601e-01,2.965681487694382668e-03,2.296276949346065521e-02,1.114200019836425781e+01,7.519999980926513672e+00,-1.000000000000000000e+00,3.610000000000000000e+02,1.300000000000000000e+01,3.460000000000000000e+02,1.200000000000000000e+01,2.682411193847656250e+00,2.352853536605834961e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.995713502168655396e-03,4.800449523925781250e+02,6.000000000000000000e+03
1.141889169812202454e-01,4.069767519831657410e-02,2.734238980337977409e-03,1.459904760122299194e-02,1.023799991607666016e+01,6.400000095367431641e+00,-1.000000000000000000e+00,3.350000000000000000e+02,1.200000000000000000e+01,3.200000000000000000e+02,1.100000000000000000e+01,2.704400300979614258e+00,2.354311227798461914e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.985525738447904587e-03,4.572003173828125000e+02,6.500000000000000000e+03
1.141889169812202454e-01,2.408075705170631409e-02,2.561668166890740395e-03,1.338525861501693726e-02,1.037199974060058594e+01,9.560000419616699219e+00,-1.000000000000000000e+00,3.310000000000000000e+02,1.600000000000000000e+01,3.170000000000000000e+02,1.500000000000000000e+01,2.708293199539184570e+00,2.359574794769287109e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.779414739459753036e-03,4.505394287109375000e+02,7.000000000000000000e+03
1.141889169812202454e-01,8.654461801052093506e-02,2.805080963298678398e-03,1.687538810074329376e-02,1.024400043487548828e+01,1.127999973297119141e+01,-1.000000000000000000e+00,3.400000000000000000e+02,1.900000000000000000e+01,3.260000000000000000e+02,1.800000000000000000e+01,2.706459283828735352e+00,2.274136543273925781e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.882874131202697754e-03,4.630533447265625000e+02,7.500000000000000000e+03
1.141889169812202454e-01,4.983289539813995361e-02,3.021501703187823296e-03,1.858361624181270599e-02,1.008600044250488281e+01,6.679999828338623047e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.200000000000000000e+01,3.220000000000000000e+02,1.000000000000000000e+01,2.695948839187622070e+00,2.303375482559204102e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493376307189464569e-02,4.543254089355468750e+02,8.000000000000000000e+03
1.141889169812202454e-01,3.457176312804222107e-02,2.927873982116580009e-03,1.652250438928604126e-02,1.053400039672851562e+01,7.039999961853027344e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.100000000000000000e+01,3.370000000000000000e+02,1.000000000000000000e+01,2.696249008178710938e+00,2.400128841400146484e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.314280368387699127e-02,4.818477783203125000e+02,8.500000000000000000e+03
